loan_id,origination_date,loan_product,monthly_income_inr,cibil_score,loan_amount_inr,interest_rate_pct,dti_ratio,days_past_due,ind_as_stage,default_flag,is_approved,decision_reason,risk_tier
LN000051,2025-02-10,Consumer Durable,75300.0,860,20000.0,14.67,0.168,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000053,2024-11-19,Consumer Durable,109800.0,687,66000.0,17.55,0.135,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000054,2025-01-05,Consumer Durable,67600.0,674,61000.0,17.77,0.195,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000055,2025-08-18,Two-Wheeler,19300.0,732,126000.0,16.8,0.403,0,Current,0,True,Approved,Tier 3: Near Prime
LN000062,2025-11-17,Personal Loan,54100.0,695,165000.0,17.42,0.374,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000063,2025-06-27,Consumer Durable,52500.0,724,21000.0,16.93,0.309,0,Current,0,True,Approved,Tier 3: Near Prime
LN000065,2025-10-20,Personal Loan,59800.0,735,355000.0,16.75,0.505,0,Current,0,True,Approved,Tier 3: Near Prime
LN000066,2025-08-01,Two-Wheeler,23200.0,656,121000.0,18.07,0.482,40,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000068,2025-10-26,Consumer Durable,115900.0,684,33000.0,17.6,0.157,37,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000070,2026-03-03,Consumer Durable,66000.0,804,45000.0,15.6,0.499,16,Stage 1,0,True,Approved,Tier 1: Prime Plus
LN000071,2026-07-20,Two-Wheeler,62400.0,783,124000.0,15.95,0.356,0,Current,0,True,Approved,Tier 2: Prime
LN000075,2025-11-18,Two-Wheeler,66500.0,713,48000.0,17.12,0.246,34,Stage 2,0,True,Approved,Tier 3: Near Prime
LN000076,2026-05-02,Two-Wheeler,72700.0,757,43000.0,16.38,0.33,0,Current,0,True,Approved,Tier 2: Prime
LN000077,2026-01-26,Two-Wheeler,63900.0,759,140000.0,16.35,0.285,0,Current,0,True,Approved,Tier 2: Prime
LN000081,2026-04-20,Consumer Durable,124400.0,669,30000.0,17.85,0.418,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000082,2024-10-07,Two-Wheeler,44200.0,852,58000.0,14.8,0.15,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000087,2024-09-14,Two-Wheeler,15000.0,717,53000.0,17.05,0.257,0,Current,0,True,Approved,Tier 3: Near Prime
LN000088,2025-04-22,Two-Wheeler,58400.0,678,78000.0,17.7,0.436,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000092,2024-09-21,Two-Wheeler,53900.0,712,118000.0,17.13,0.493,29,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000093,2026-04-02,Two-Wheeler,37500.0,760,81000.0,16.33,0.206,9,Stage 1,0,True,Approved,Tier 2: Prime
LN000094,2025-06-05,Two-Wheeler,35600.0,758,82000.0,16.37,0.36,0,Current,0,True,Approved,Tier 2: Prime
LN000097,2026-02-19,Two-Wheeler,23900.0,702,86000.0,17.3,0.419,83,Stage 2,0,True,Approved,Tier 3: Near Prime
LN000098,2026-07-24,Personal Loan,96200.0,669,239000.0,17.85,0.246,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000102,2024-12-14,Two-Wheeler,37700.0,711,140000.0,17.15,0.379,19,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000103,2025-08-13,Personal Loan,51100.0,701,538000.0,17.32,0.52,0,Current,0,True,Approved,Tier 3: Near Prime
LN000106,2026-01-27,Personal Loan,53200.0,692,206000.0,17.47,0.29,86,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000107,2025-04-12,Personal Loan,72300.0,653,206000.0,18.12,0.33,171,Stage 3 (Default),1,True,Approved,Tier 4: Sub-Prime
LN000108,2024-09-19,Two-Wheeler,131400.0,745,46000.0,16.58,0.404,59,Stage 2,0,True,Approved,Tier 3: Near Prime
LN000113,2024-12-06,Consumer Durable,45200.0,748,74000.0,16.53,0.218,31,Stage 2,0,True,Approved,Tier 3: Near Prime
LN000114,2025-05-18,Consumer Durable,127500.0,838,18000.0,15.03,0.382,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000116,2024-10-26,Consumer Durable,20900.0,819,43000.0,15.35,0.261,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000117,2024-12-31,Consumer Durable,18000.0,683,80000.0,17.62,0.337,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000119,2026-02-13,Consumer Durable,66800.0,703,34000.0,17.28,0.476,0,Current,0,True,Approved,Tier 3: Near Prime
LN000120,2026-03-19,Two-Wheeler,21500.0,674,82000.0,17.77,0.508,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000121,2026-03-30,Consumer Durable,45500.0,887,67000.0,14.22,0.162,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000122,2025-01-04,Consumer Durable,48200.0,796,62000.0,15.73,0.346,0,Current,0,True,Approved,Tier 2: Prime
LN000127,2026-02-04,Consumer Durable,24600.0,704,43000.0,17.27,0.2,0,Current,0,True,Approved,Tier 3: Near Prime
LN000128,2025-02-08,Consumer Durable,55900.0,779,19000.0,16.02,0.444,38,Stage 2,0,True,Approved,Tier 2: Prime
LN000129,2026-06-17,Personal Loan,106600.0,778,739000.0,16.03,0.361,0,Current,0,True,Approved,Tier 2: Prime
LN000131,2024-09-29,Personal Loan,66500.0,900,486000.0,14.0,0.522,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000135,2025-05-25,Consumer Durable,42800.0,812,48000.0,15.47,0.238,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000136,2025-12-31,Personal Loan,41000.0,724,140000.0,16.93,0.261,0,Current,0,True,Approved,Tier 3: Near Prime
LN000138,2025-09-30,Two-Wheeler,63600.0,805,70000.0,15.58,0.271,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000140,2026-06-10,Consumer Durable,124000.0,719,20000.0,17.02,0.44,0,Current,0,True,Approved,Tier 3: Near Prime
LN000141,2024-08-19,Consumer Durable,53600.0,788,30000.0,15.87,0.299,0,Current,0,True,Approved,Tier 2: Prime
LN000144,2024-10-13,Personal Loan,170500.0,808,593000.0,15.53,0.497,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000145,2025-08-18,Personal Loan,54700.0,750,185000.0,16.5,0.232,0,Current,0,True,Approved,Tier 2: Prime
LN000147,2026-04-28,Two-Wheeler,39200.0,802,134000.0,15.63,0.279,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000148,2026-04-16,Two-Wheeler,120300.0,854,119000.0,14.77,0.29,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000151,2026-06-23,Consumer Durable,56500.0,718,67000.0,17.03,0.172,0,Current,0,True,Approved,Tier 3: Near Prime
LN000157,2025-11-22,Two-Wheeler,25800.0,780,118000.0,16.0,0.357,0,Current,0,True,Approved,Tier 2: Prime
LN000158,2025-12-13,Two-Wheeler,83000.0,688,71000.0,17.53,0.161,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000160,2025-12-15,Two-Wheeler,45200.0,716,107000.0,17.07,0.201,0,Current,0,True,Approved,Tier 3: Near Prime
LN000162,2025-04-28,Two-Wheeler,39300.0,697,109000.0,17.38,0.418,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000163,2026-06-29,Two-Wheeler,26600.0,711,113000.0,17.15,0.312,0,Current,0,True,Approved,Tier 3: Near Prime
LN000164,2024-11-13,Two-Wheeler,82300.0,812,141000.0,15.47,0.438,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000166,2025-05-31,Consumer Durable,134300.0,749,79000.0,16.52,0.508,0,Current,0,True,Approved,Tier 3: Near Prime
LN000170,2025-08-29,Two-Wheeler,65800.0,836,81000.0,15.07,0.297,10,Stage 1,0,True,Approved,Tier 1: Prime Plus
LN000171,2025-11-06,Two-Wheeler,55300.0,746,67000.0,16.57,0.515,0,Current,0,True,Approved,Tier 3: Near Prime
LN000173,2026-07-19,Two-Wheeler,41900.0,794,142000.0,15.77,0.312,0,Current,0,True,Approved,Tier 2: Prime
LN000174,2024-12-16,Personal Loan,99000.0,782,571000.0,15.97,0.443,0,Current,0,True,Approved,Tier 2: Prime
LN000175,2026-07-12,Two-Wheeler,37800.0,847,102000.0,14.88,0.445,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000177,2025-03-26,Two-Wheeler,54700.0,838,115000.0,15.03,0.242,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000179,2025-02-01,Consumer Durable,30600.0,755,72000.0,16.42,0.483,0,Current,0,True,Approved,Tier 2: Prime
LN000181,2026-02-20,Personal Loan,66300.0,752,626000.0,16.47,0.472,0,Current,0,True,Approved,Tier 2: Prime
LN000183,2024-12-30,Consumer Durable,81700.0,738,43000.0,16.7,0.403,0,Current,0,True,Approved,Tier 3: Near Prime
LN000184,2025-12-01,Consumer Durable,37900.0,820,50000.0,15.33,0.401,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000186,2025-09-21,Two-Wheeler,22700.0,697,120000.0,17.38,0.529,60,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000187,2025-11-17,Consumer Durable,68600.0,728,41000.0,16.87,0.179,0,Current,0,True,Approved,Tier 3: Near Prime
LN000188,2025-03-22,Two-Wheeler,41800.0,698,77000.0,17.37,0.422,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000189,2025-10-20,Two-Wheeler,126400.0,686,142000.0,17.57,0.422,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000193,2025-02-04,Consumer Durable,62500.0,716,75000.0,17.07,0.505,0,Current,0,True,Approved,Tier 3: Near Prime
LN000194,2025-06-03,Two-Wheeler,89800.0,752,138000.0,16.47,0.259,0,Current,0,True,Approved,Tier 2: Prime
LN000196,2024-12-16,Personal Loan,64600.0,714,438000.0,17.1,0.488,0,Current,0,True,Approved,Tier 3: Near Prime
LN000199,2025-10-29,Consumer Durable,121100.0,677,62000.0,17.72,0.389,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000201,2025-03-22,Two-Wheeler,22500.0,716,82000.0,17.07,0.354,0,Current,0,True,Approved,Tier 3: Near Prime
LN000204,2024-12-03,Consumer Durable,18300.0,675,18000.0,17.75,0.284,4,Stage 1,0,True,Approved,Tier 4: Sub-Prime
LN000207,2025-06-10,Personal Loan,55000.0,734,354000.0,16.77,0.447,0,Current,0,True,Approved,Tier 3: Near Prime
LN000208,2026-06-10,Two-Wheeler,33700.0,782,63000.0,15.97,0.239,0,Current,0,True,Approved,Tier 2: Prime
LN000210,2025-10-18,Personal Loan,46000.0,740,184000.0,16.67,0.335,0,Current,0,True,Approved,Tier 3: Near Prime
LN000211,2025-12-03,Two-Wheeler,81900.0,705,85000.0,17.25,0.143,0,Current,0,True,Approved,Tier 3: Near Prime
LN000212,2026-04-28,Two-Wheeler,74600.0,702,106000.0,17.3,0.339,0,Current,0,True,Approved,Tier 3: Near Prime
LN000213,2024-10-06,Two-Wheeler,143200.0,655,135000.0,18.08,0.226,22,Stage 1,0,True,Approved,Tier 4: Sub-Prime
LN000214,2025-11-30,Personal Loan,33100.0,717,203000.0,17.05,0.534,17,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000218,2025-12-23,Two-Wheeler,48900.0,734,131000.0,16.77,0.529,0,Current,0,True,Approved,Tier 3: Near Prime
LN000222,2025-10-20,Two-Wheeler,68500.0,674,57000.0,17.77,0.364,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000224,2026-07-04,Personal Loan,87500.0,716,106000.0,17.07,0.461,20,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000225,2025-04-22,Personal Loan,60300.0,786,233000.0,15.9,0.48,0,Current,0,True,Approved,Tier 2: Prime
LN000226,2026-02-13,Personal Loan,76200.0,703,616000.0,17.28,0.516,0,Current,0,True,Approved,Tier 3: Near Prime
LN000227,2026-05-18,Consumer Durable,77600.0,778,28000.0,16.03,0.424,0,Current,0,True,Approved,Tier 2: Prime
LN000229,2025-12-29,Consumer Durable,49800.0,777,60000.0,16.05,0.181,0,Current,0,True,Approved,Tier 2: Prime
LN000231,2025-09-07,Two-Wheeler,33100.0,759,74000.0,16.35,0.411,0,Current,0,True,Approved,Tier 2: Prime
LN000232,2025-05-17,Two-Wheeler,33900.0,685,143000.0,17.58,0.361,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000236,2026-03-15,Two-Wheeler,28900.0,809,48000.0,15.52,0.37,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000239,2026-04-27,Two-Wheeler,34100.0,685,69000.0,17.58,0.462,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000241,2026-02-05,Consumer Durable,36400.0,768,46000.0,16.2,0.482,0,Current,0,True,Approved,Tier 2: Prime
LN000242,2025-12-11,Consumer Durable,99400.0,722,53000.0,16.97,0.318,0,Current,0,True,Approved,Tier 3: Near Prime
LN000243,2024-12-18,Consumer Durable,40300.0,680,36000.0,17.67,0.415,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000244,2025-02-20,Personal Loan,40900.0,652,177000.0,18.13,0.354,86,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000246,2025-03-29,Consumer Durable,41900.0,664,39000.0,17.93,0.43,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000248,2025-05-20,Consumer Durable,43100.0,655,57000.0,18.08,0.345,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000249,2024-09-05,Consumer Durable,44800.0,675,67000.0,17.75,0.285,11,Stage 1,0,True,Approved,Tier 4: Sub-Prime
LN000250,2025-05-30,Consumer Durable,90200.0,774,76000.0,16.1,0.427,0,Current,0,True,Approved,Tier 2: Prime
LN000251,2025-05-31,Personal Loan,57800.0,766,520000.0,16.23,0.443,0,Current,0,True,Approved,Tier 2: Prime
LN000253,2026-02-13,Consumer Durable,46600.0,747,49000.0,16.55,0.222,0,Current,0,True,Approved,Tier 3: Near Prime
LN000256,2026-02-10,Two-Wheeler,52100.0,730,74000.0,16.83,0.184,0,Current,0,True,Approved,Tier 3: Near Prime
LN000257,2026-03-16,Consumer Durable,96600.0,716,58000.0,17.07,0.146,0,Current,0,True,Approved,Tier 3: Near Prime
LN000258,2024-08-20,Two-Wheeler,31400.0,699,40000.0,17.35,0.166,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000261,2024-08-20,Two-Wheeler,47800.0,806,101000.0,15.57,0.201,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000262,2025-06-10,Consumer Durable,19500.0,801,38000.0,15.65,0.277,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000264,2025-12-11,Two-Wheeler,47400.0,769,106000.0,16.18,0.383,0,Current,0,True,Approved,Tier 2: Prime
LN000266,2024-09-05,Two-Wheeler,78700.0,745,91000.0,16.58,0.179,0,Current,0,True,Approved,Tier 3: Near Prime
LN000267,2025-07-20,Two-Wheeler,56100.0,668,86000.0,17.87,0.279,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000268,2026-01-18,Two-Wheeler,22800.0,819,79000.0,15.35,0.437,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000272,2025-05-15,Consumer Durable,43300.0,713,26000.0,17.12,0.516,0,Current,0,True,Approved,Tier 3: Near Prime
LN000274,2026-05-29,Consumer Durable,52100.0,809,45000.0,15.52,0.424,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000276,2026-06-26,Two-Wheeler,15000.0,714,74000.0,17.1,0.433,0,Current,0,True,Approved,Tier 3: Near Prime
LN000278,2026-06-02,Two-Wheeler,271400.0,689,55000.0,17.52,0.158,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000280,2026-07-04,Two-Wheeler,37600.0,714,120000.0,17.1,0.497,86,Stage 2,0,True,Approved,Tier 3: Near Prime
LN000284,2025-03-13,Personal Loan,41800.0,684,132000.0,17.6,0.319,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000288,2025-11-14,Two-Wheeler,41000.0,748,106000.0,16.53,0.41,0,Current,0,True,Approved,Tier 3: Near Prime
LN000289,2026-04-03,Personal Loan,43800.0,793,94000.0,15.78,0.252,0,Current,0,True,Approved,Tier 2: Prime
LN000290,2025-03-17,Two-Wheeler,57800.0,671,83000.0,17.82,0.22,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000291,2026-03-12,Personal Loan,38200.0,770,117000.0,16.17,0.496,0,Current,0,True,Approved,Tier 2: Prime
LN000292,2024-09-23,Personal Loan,57400.0,683,56000.0,17.62,0.457,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000293,2026-01-04,Consumer Durable,100900.0,745,34000.0,16.58,0.35,0,Current,0,True,Approved,Tier 3: Near Prime
LN000294,2025-10-26,Personal Loan,62500.0,813,175000.0,15.45,0.472,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000297,2025-10-06,Two-Wheeler,55300.0,686,69000.0,17.57,0.337,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000298,2025-06-02,Personal Loan,29800.0,746,227000.0,16.57,0.437,0,Current,0,True,Approved,Tier 3: Near Prime
LN000299,2024-11-13,Two-Wheeler,55500.0,851,118000.0,14.82,0.464,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000302,2025-08-11,Two-Wheeler,38000.0,665,92000.0,17.92,0.35,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000304,2024-10-04,Two-Wheeler,72500.0,747,117000.0,16.55,0.53,0,Current,0,True,Approved,Tier 3: Near Prime
LN000305,2025-05-29,Two-Wheeler,25300.0,847,41000.0,14.88,0.344,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000306,2025-11-27,Consumer Durable,30000.0,721,41000.0,16.98,0.445,0,Current,0,True,Approved,Tier 3: Near Prime
LN000307,2026-02-28,Two-Wheeler,18700.0,741,123000.0,16.65,0.439,107,Stage 3 (Default),1,True,Approved,Tier 3: Near Prime
LN000309,2025-07-30,Two-Wheeler,82200.0,674,150000.0,17.77,0.376,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000310,2025-03-05,Personal Loan,109000.0,809,380000.0,15.52,0.43,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000312,2024-09-03,Personal Loan,32400.0,659,116000.0,18.02,0.364,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000314,2025-02-16,Consumer Durable,38500.0,728,57000.0,16.87,0.38,0,Current,0,True,Approved,Tier 3: Near Prime
LN000315,2025-07-02,Consumer Durable,131700.0,712,21000.0,17.13,0.163,0,Current,0,True,Approved,Tier 3: Near Prime
LN000316,2026-05-14,Two-Wheeler,107200.0,783,112000.0,15.95,0.436,0,Current,0,True,Approved,Tier 2: Prime
LN000321,2024-11-23,Two-Wheeler,16100.0,794,60000.0,15.77,0.486,0,Current,0,True,Approved,Tier 2: Prime
LN000322,2025-04-30,Two-Wheeler,20600.0,867,71000.0,14.55,0.387,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000323,2026-02-12,Two-Wheeler,151300.0,715,76000.0,17.08,0.387,0,Current,0,True,Approved,Tier 3: Near Prime
LN000326,2025-02-04,Two-Wheeler,28200.0,821,136000.0,15.32,0.507,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000327,2025-11-26,Two-Wheeler,233100.0,857,60000.0,14.72,0.404,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000328,2025-07-19,Two-Wheeler,47200.0,709,49000.0,17.18,0.411,0,Current,0,True,Approved,Tier 3: Near Prime
LN000329,2024-12-25,Personal Loan,89000.0,773,334000.0,16.12,0.322,16,Stage 1,0,True,Approved,Tier 2: Prime
LN000332,2025-04-03,Two-Wheeler,123000.0,763,90000.0,16.28,0.514,0,Current,0,True,Approved,Tier 2: Prime
LN000335,2025-08-10,Personal Loan,140900.0,735,977000.0,16.75,0.35,0,Current,0,True,Approved,Tier 3: Near Prime
LN000337,2025-11-11,Consumer Durable,45000.0,866,20000.0,14.57,0.489,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000339,2025-04-25,Personal Loan,93500.0,823,413000.0,15.28,0.272,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000340,2025-07-19,Personal Loan,79900.0,779,106000.0,16.02,0.39,0,Current,0,True,Approved,Tier 2: Prime
LN000343,2026-04-06,Personal Loan,39300.0,727,119000.0,16.88,0.433,29,Stage 1,0,True,Approved,Tier 3: Near Prime
LN000345,2025-01-15,Personal Loan,98300.0,696,75000.0,17.4,0.196,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000346,2026-04-27,Two-Wheeler,19100.0,695,85000.0,17.42,0.3,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000347,2024-11-18,Two-Wheeler,127600.0,654,98000.0,18.1,0.194,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000348,2025-12-11,Personal Loan,106100.0,863,272000.0,14.62,0.307,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000350,2024-10-18,Two-Wheeler,38200.0,681,140000.0,17.65,0.489,40,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000351,2024-12-09,Two-Wheeler,32000.0,687,104000.0,17.55,0.326,49,Stage 2,0,True,Approved,Tier 4: Sub-Prime
LN000353,2025-02-18,Two-Wheeler,114400.0,768,111000.0,16.2,0.469,0,Current,0,True,Approved,Tier 2: Prime
LN000356,2026-03-09,Two-Wheeler,104100.0,810,96000.0,15.5,0.473,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000357,2025-06-28,Personal Loan,99000.0,677,704000.0,17.72,0.41,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000358,2026-07-20,Two-Wheeler,43800.0,756,139000.0,16.4,0.322,0,Current,0,True,Approved,Tier 2: Prime
LN000359,2025-12-03,Consumer Durable,48700.0,675,59000.0,17.75,0.296,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000360,2024-08-30,Two-Wheeler,123600.0,679,111000.0,17.68,0.469,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000361,2026-03-15,Personal Loan,92500.0,669,852000.0,17.85,0.47,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000362,2024-12-09,Two-Wheeler,102200.0,705,47000.0,17.25,0.234,0,Current,0,True,Approved,Tier 3: Near Prime
LN000364,2025-11-22,Two-Wheeler,68100.0,780,137000.0,16.0,0.185,0,Current,0,True,Approved,Tier 2: Prime
LN000365,2026-05-02,Consumer Durable,59600.0,900,79000.0,14.0,0.535,66,Stage 2,0,True,Approved,Tier 1: Prime Plus
LN000366,2025-05-24,Personal Loan,110700.0,767,653000.0,16.22,0.489,133,Stage 3 (Default),1,True,Approved,Tier 2: Prime
LN000368,2024-09-10,Consumer Durable,34000.0,774,54000.0,16.1,0.531,47,Stage 2,0,True,Approved,Tier 2: Prime
LN000372,2025-11-08,Personal Loan,83600.0,803,860000.0,15.62,0.534,0,Current,0,True,Approved,Tier 1: Prime Plus
LN000377,2024-08-13,Consumer Durable,96600.0,768,45000.0,16.2,0.324,0,Current,0,True,Approved,Tier 2: Prime
LN000379,2025-10-23,Consumer Durable,21100.0,711,59000.0,17.15,0.547,0,Current,0,True,Approved,Tier 3: Near Prime
LN000380,2025-06-16,Personal Loan,76600.0,654,141000.0,18.1,0.541,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000381,2025-11-24,Personal Loan,45300.0,711,71000.0,17.15,0.248,0,Current,0,True,Approved,Tier 3: Near Prime
LN000383,2026-01-20,Two-Wheeler,80800.0,651,133000.0,18.15,0.249,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000384,2025-04-11,Consumer Durable,17200.0,669,75000.0,17.85,0.522,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000386,2025-02-08,Consumer Durable,153300.0,689,35000.0,17.52,0.42,0,Current,0,True,Approved,Tier 4: Sub-Prime
LN000387,2026-01-19,Personal Loan,91100.0,726,461000.0,16.9,0.455,0,Current,0,True,Approved,Tier 3: Near Prime
LN000388,2025-07-21,Personal Loan,93400.0,826,308000.0,15.23,0.28,0,Current,0,True,Approved,Tier 1: Prime Plus
