loan_id,origination_date,loan_product,monthly_income_inr,cibil_score,loan_amount_inr,interest_rate_pct,dti_ratio,days_past_due,ind_as_stage,default_flag
LN000060,2026-04-24,Personal Loan,33400.0,787,449000.0,15.88,0.86,0,Current,0
LN000061,2025-09-16,Personal Loan,41900.0,756,792000.0,16.4,1.086,0,Current,0
LN000062,2025-11-17,Personal Loan,54100.0,695,165000.0,17.42,0.374,0,Current,0
LN000063,2025-06-27,Consumer Durable,52500.0,724,21000.0,16.93,0.309,0,Current,0
LN000064,2025-01-15,Personal Loan,48300.0,667,857000.0,17.88,0.904,0,Current,0
LN000065,2025-10-20,Personal Loan,59800.0,735,355000.0,16.75,0.505,0,Current,0
LN000066,2025-08-01,Two-Wheeler,23200.0,656,121000.0,18.07,0.482,40,Stage 2,0
LN000067,2026-06-06,Personal Loan,51200.0,730,977000.0,16.83,1.075,0,Current,0
LN000068,2025-10-26,Consumer Durable,115900.0,684,33000.0,17.6,0.157,37,Stage 2,0
LN000069,2025-12-30,Personal Loan,44400.0,654,901000.0,18.1,1.051,70,Stage 2,0
LN000070,2026-03-03,Consumer Durable,66000.0,804,45000.0,15.6,0.499,16,Stage 1,0
LN000071,2026-07-20,Two-Wheeler,62400.0,783,124000.0,15.95,0.356,0,Current,0
LN000072,2024-12-11,Personal Loan,82200.0,724,463000.0,16.93,0.639,166,Stage 3 (Default),1
LN000073,2025-04-20,Personal Loan,58200.0,580,861000.0,19.33,0.682,0,Current,0
LN000074,2025-05-17,Consumer Durable,81400.0,649,21000.0,18.18,0.293,0,Current,0
LN000075,2025-11-18,Two-Wheeler,66500.0,713,48000.0,17.12,0.246,34,Stage 2,0
LN000076,2026-05-02,Two-Wheeler,72700.0,757,43000.0,16.38,0.33,0,Current,0
LN000077,2026-01-26,Two-Wheeler,63900.0,759,140000.0,16.35,0.285,0,Current,0
LN000078,2026-01-26,Personal Loan,26800.0,738,671000.0,16.7,1.017,0,Current,0
LN000079,2026-05-03,Personal Loan,24300.0,722,649000.0,16.97,1.231,17,Stage 1,0
LN000080,2025-07-03,Personal Loan,39700.0,702,711000.0,17.3,1.039,0,Current,0
LN000081,2026-04-20,Consumer Durable,124400.0,669,30000.0,17.85,0.418,0,Current,0
LN000082,2024-10-07,Two-Wheeler,44200.0,852,58000.0,14.8,0.15,0,Current,0
LN000083,2025-09-24,Personal Loan,59000.0,802,446000.0,15.63,0.609,0,Current,0
LN000084,2025-10-23,Personal Loan,15100.0,766,66000.0,16.23,0.358,0,Current,0
LN000085,2026-06-04,Personal Loan,55100.0,629,498000.0,18.52,0.7,35,Stage 2,0
LN000086,2026-07-18,Personal Loan,51600.0,625,206000.0,18.58,0.315,59,Stage 2,0
LN000087,2024-09-14,Two-Wheeler,15000.0,717,53000.0,17.05,0.257,0,Current,0
LN000088,2025-04-22,Two-Wheeler,58400.0,678,78000.0,17.7,0.436,0,Current,0
LN000089,2024-08-20,Consumer Durable,18200.0,628,26000.0,18.53,0.326,152,Stage 3 (Default),1
LN000090,2025-07-18,Personal Loan,31700.0,728,166000.0,16.87,0.64,8,Stage 1,0
LN000091,2025-07-18,Personal Loan,89000.0,569,828000.0,19.52,0.495,7,Stage 1,0
LN000092,2024-09-21,Two-Wheeler,53900.0,712,118000.0,17.13,0.493,29,Stage 1,0
LN000093,2026-04-02,Two-Wheeler,37500.0,760,81000.0,16.33,0.206,9,Stage 1,0
LN000094,2025-06-05,Two-Wheeler,35600.0,758,82000.0,16.37,0.36,0,Current,0
LN000095,2026-03-28,Two-Wheeler,38100.0,575,46000.0,19.42,0.534,0,Current,0
LN000096,2025-05-08,Personal Loan,54000.0,571,246000.0,19.48,0.323,117,Stage 3 (Default),1
LN000097,2026-02-19,Two-Wheeler,23900.0,702,86000.0,17.3,0.419,83,Stage 2,0
LN000098,2026-07-24,Personal Loan,96200.0,669,239000.0,17.85,0.246,0,Current,0
LN000099,2025-05-12,Personal Loan,24600.0,622,139000.0,18.63,0.653,4,Stage 1,0
LN000100,2025-08-11,Personal Loan,17400.0,547,719000.0,19.88,1.789,0,Current,0
LN000101,2026-07-28,Personal Loan,88800.0,649,593000.0,18.18,0.419,0,Current,0
LN000102,2024-12-14,Two-Wheeler,37700.0,711,140000.0,17.15,0.379,19,Stage 1,0
LN000103,2025-08-13,Personal Loan,51100.0,701,538000.0,17.32,0.52,0,Current,0
LN000104,2026-02-15,Two-Wheeler,72600.0,623,106000.0,18.62,0.239,0,Current,0
LN000105,2024-10-12,Consumer Durable,31800.0,639,74000.0,18.35,0.533,0,Current,0
LN000106,2026-01-27,Personal Loan,53200.0,692,206000.0,17.47,0.29,86,Stage 2,0
LN000107,2025-04-12,Personal Loan,72300.0,653,206000.0,18.12,0.33,171,Stage 3 (Default),1
LN000108,2024-09-19,Two-Wheeler,131400.0,745,46000.0,16.58,0.404,59,Stage 2,0
LN000109,2026-06-07,Personal Loan,36100.0,764,571000.0,16.27,0.717,0,Current,0
LN000110,2024-12-25,Personal Loan,37100.0,756,127000.0,16.4,0.557,0,Current,0
LN000111,2026-02-28,Personal Loan,68700.0,632,440000.0,18.47,0.596,0,Current,0
LN000112,2025-05-19,Personal Loan,55600.0,746,872000.0,16.57,0.691,0,Current,0
LN000113,2024-12-06,Consumer Durable,45200.0,748,74000.0,16.53,0.218,31,Stage 2,0
LN000114,2025-05-18,Consumer Durable,127500.0,838,18000.0,15.03,0.382,0,Current,0
LN000115,2024-08-17,Two-Wheeler,17900.0,877,106000.0,14.38,0.577,0,Current,0
LN000116,2024-10-26,Consumer Durable,20900.0,819,43000.0,15.35,0.261,0,Current,0
LN000117,2024-12-31,Consumer Durable,18000.0,683,80000.0,17.62,0.337,0,Current,0
LN000118,2025-06-20,Personal Loan,100800.0,658,723000.0,18.03,0.751,0,Current,0
LN000119,2026-02-13,Consumer Durable,66800.0,703,34000.0,17.28,0.476,0,Current,0
LN000120,2026-03-19,Two-Wheeler,21500.0,674,82000.0,17.77,0.508,0,Current,0
LN000121,2026-03-30,Consumer Durable,45500.0,887,67000.0,14.22,0.162,0,Current,0
LN000122,2025-01-04,Consumer Durable,48200.0,796,62000.0,15.73,0.346,0,Current,0
LN000123,2025-02-04,Personal Loan,15000.0,769,943000.0,16.18,2.513,121,Stage 3 (Default),1
LN000124,2026-01-31,Personal Loan,54900.0,784,312000.0,15.93,0.586,0,Current,0
LN000125,2024-09-03,Personal Loan,24200.0,829,198000.0,15.18,0.535,0,Current,0
LN000126,2025-11-17,Personal Loan,74900.0,769,708000.0,16.18,0.563,0,Current,0
LN000127,2026-02-04,Consumer Durable,24600.0,704,43000.0,17.27,0.2,0,Current,0
LN000128,2025-02-08,Consumer Durable,55900.0,779,19000.0,16.02,0.444,38,Stage 2,0
LN000129,2026-06-17,Personal Loan,106600.0,778,739000.0,16.03,0.361,0,Current,0
LN000130,2024-12-09,Two-Wheeler,88000.0,630,119000.0,18.5,0.277,0,Current,0
LN000131,2024-09-29,Personal Loan,66500.0,900,486000.0,14.0,0.522,0,Current,0
LN000132,2026-04-21,Personal Loan,46700.0,670,971000.0,17.83,0.987,0,Current,0
LN000133,2025-10-26,Personal Loan,19900.0,843,940000.0,14.95,1.981,0,Current,0
LN000134,2026-06-20,Personal Loan,37700.0,707,529000.0,17.22,0.937,0,Current,0
LN000135,2025-05-25,Consumer Durable,42800.0,812,48000.0,15.47,0.238,0,Current,0
LN000136,2025-12-31,Personal Loan,41000.0,724,140000.0,16.93,0.261,0,Current,0
LN000137,2026-05-21,Two-Wheeler,19500.0,604,51000.0,18.93,0.403,0,Current,0
LN000138,2025-09-30,Two-Wheeler,63600.0,805,70000.0,15.58,0.271,0,Current,0
LN000139,2025-01-21,Personal Loan,24100.0,837,666000.0,15.05,1.321,60,Stage 2,0
LN000140,2026-06-10,Consumer Durable,124000.0,719,20000.0,17.02,0.44,0,Current,0
LN000141,2024-08-19,Consumer Durable,53600.0,788,30000.0,15.87,0.299,0,Current,0
LN000142,2026-04-05,Personal Loan,88200.0,664,967000.0,17.93,0.844,76,Stage 2,0
LN000143,2024-09-02,Personal Loan,87100.0,725,843000.0,16.92,0.663,0,Current,0
LN000144,2024-10-13,Personal Loan,170500.0,808,593000.0,15.53,0.497,0,Current,0
LN000145,2025-08-18,Personal Loan,54700.0,750,185000.0,16.5,0.232,0,Current,0
LN000146,2026-02-04,Personal Loan,38800.0,760,938000.0,16.33,1.039,0,Current,0
LN000147,2026-04-28,Two-Wheeler,39200.0,802,134000.0,15.63,0.279,0,Current,0
LN000148,2026-04-16,Two-Wheeler,120300.0,854,119000.0,14.77,0.29,0,Current,0
LN000149,2025-07-19,Personal Loan,22200.0,810,487000.0,15.5,1.188,4,Stage 1,0
LN000150,2026-06-13,Personal Loan,28900.0,746,288000.0,16.57,0.712,0,Current,0
LN000151,2026-06-23,Consumer Durable,56500.0,718,67000.0,17.03,0.172,0,Current,0
LN000152,2025-11-29,Personal Loan,44700.0,735,654000.0,16.75,0.929,0,Current,0
LN000153,2025-10-22,Personal Loan,87600.0,617,213000.0,18.72,0.538,54,Stage 2,0
LN000154,2025-08-30,Personal Loan,22000.0,741,283000.0,16.65,0.606,0,Current,0
LN000155,2025-05-01,Consumer Durable,47100.0,628,39000.0,18.53,0.394,0,Current,0
LN000156,2025-12-27,Personal Loan,43800.0,690,894000.0,17.5,1.01,0,Current,0
LN000157,2025-11-22,Two-Wheeler,25800.0,780,118000.0,16.0,0.357,0,Current,0
LN000158,2025-12-13,Two-Wheeler,83000.0,688,71000.0,17.53,0.161,0,Current,0
LN000159,2025-05-31,Personal Loan,46400.0,832,276000.0,15.13,0.668,0,Current,0
LN000160,2025-12-15,Two-Wheeler,45200.0,716,107000.0,17.07,0.201,0,Current,0
LN000161,2025-01-24,Personal Loan,29900.0,816,587000.0,15.4,1.131,0,Current,0
LN000162,2025-04-28,Two-Wheeler,39300.0,697,109000.0,17.38,0.418,0,Current,0
LN000163,2026-06-29,Two-Wheeler,26600.0,711,113000.0,17.15,0.312,0,Current,0
LN000164,2024-11-13,Two-Wheeler,82300.0,812,141000.0,15.47,0.438,0,Current,0
LN000165,2024-10-23,Personal Loan,91100.0,705,492000.0,17.25,0.69,0,Current,0
LN000166,2025-05-31,Consumer Durable,134300.0,749,79000.0,16.52,0.508,0,Current,0
LN000167,2026-07-21,Personal Loan,63600.0,686,613000.0,17.57,0.731,0,Current,0
LN000168,2026-07-09,Personal Loan,40000.0,536,939000.0,20.07,1.009,0,Current,0
LN000169,2026-03-11,Personal Loan,37000.0,672,407000.0,17.8,0.841,0,Current,0
LN000170,2025-08-29,Two-Wheeler,65800.0,836,81000.0,15.07,0.297,10,Stage 1,0
LN000171,2025-11-06,Two-Wheeler,55300.0,746,67000.0,16.57,0.515,0,Current,0
LN000172,2025-09-18,Personal Loan,44200.0,791,697000.0,15.82,0.85,0,Current,0
LN000173,2026-07-19,Two-Wheeler,41900.0,794,142000.0,15.77,0.312,0,Current,0
LN000174,2024-12-16,Personal Loan,99000.0,782,571000.0,15.97,0.443,0,Current,0
LN000175,2026-07-12,Two-Wheeler,37800.0,847,102000.0,14.88,0.445,0,Current,0
LN000176,2026-04-06,Personal Loan,110000.0,694,894000.0,17.43,0.611,64,Stage 2,0
LN000177,2025-03-26,Two-Wheeler,54700.0,838,115000.0,15.03,0.242,0,Current,0
LN000178,2025-07-02,Personal Loan,39300.0,773,665000.0,16.12,0.852,0,Current,0
LN000179,2025-02-01,Consumer Durable,30600.0,755,72000.0,16.42,0.483,0,Current,0
LN000180,2024-11-07,Personal Loan,44700.0,555,608000.0,19.75,0.73,0,Current,0
LN000181,2026-02-20,Personal Loan,66300.0,752,626000.0,16.47,0.472,0,Current,0
LN000182,2025-11-25,Personal Loan,39100.0,793,374000.0,15.78,0.727,0,Current,0
LN000183,2024-12-30,Consumer Durable,81700.0,738,43000.0,16.7,0.403,0,Current,0
LN000184,2025-12-01,Consumer Durable,37900.0,820,50000.0,15.33,0.401,0,Current,0
LN000185,2025-11-07,Personal Loan,45500.0,823,525000.0,15.28,0.874,72,Stage 2,0
LN000186,2025-09-21,Two-Wheeler,22700.0,697,120000.0,17.38,0.529,60,Stage 2,0
LN000187,2025-11-17,Consumer Durable,68600.0,728,41000.0,16.87,0.179,0,Current,0
LN000188,2025-03-22,Two-Wheeler,41800.0,698,77000.0,17.37,0.422,0,Current,0
LN000189,2025-10-20,Two-Wheeler,126400.0,686,142000.0,17.57,0.422,0,Current,0
LN000190,2025-05-06,Personal Loan,74800.0,727,618000.0,16.88,0.641,0,Current,0
LN000191,2024-11-01,Personal Loan,51600.0,738,347000.0,16.7,0.714,0,Current,0
LN000192,2024-11-09,Consumer Durable,102200.0,552,29000.0,19.8,0.332,0,Current,0
LN000193,2025-02-04,Consumer Durable,62500.0,716,75000.0,17.07,0.505,0,Current,0
LN000194,2025-06-03,Two-Wheeler,89800.0,752,138000.0,16.47,0.259,0,Current,0
LN000195,2025-07-16,Personal Loan,29200.0,730,676000.0,16.83,1.138,0,Current,0
LN000196,2024-12-16,Personal Loan,64600.0,714,438000.0,17.1,0.488,0,Current,0
LN000197,2024-12-20,Two-Wheeler,66300.0,639,111000.0,18.35,0.318,0,Current,0
LN000198,2026-03-19,Consumer Durable,19400.0,615,71000.0,18.75,0.392,0,Current,0
LN000199,2025-10-29,Consumer Durable,121100.0,677,62000.0,17.72,0.389,0,Current,0
LN000200,2026-02-18,Two-Wheeler,24400.0,575,60000.0,19.42,0.317,0,Current,0
LN000201,2025-03-22,Two-Wheeler,22500.0,716,82000.0,17.07,0.354,0,Current,0
LN000202,2025-06-09,Personal Loan,15000.0,652,776000.0,18.13,2.05,0,Current,0
LN000203,2026-01-23,Personal Loan,65100.0,736,301000.0,16.73,0.57,0,Current,0
LN000204,2024-12-03,Consumer Durable,18300.0,675,18000.0,17.75,0.284,4,Stage 1,0
LN000205,2024-09-15,Two-Wheeler,35900.0,564,68000.0,19.6,0.181,0,Current,0
LN000206,2025-08-12,Personal Loan,81000.0,641,726000.0,18.32,0.475,0,Current,0
LN000207,2025-06-10,Personal Loan,55000.0,734,354000.0,16.77,0.447,0,Current,0
LN000208,2026-06-10,Two-Wheeler,33700.0,782,63000.0,15.97,0.239,0,Current,0
LN000209,2024-08-06,Personal Loan,18900.0,698,484000.0,17.37,1.391,0,Current,0
LN000210,2025-10-18,Personal Loan,46000.0,740,184000.0,16.67,0.335,0,Current,0
LN000211,2025-12-03,Two-Wheeler,81900.0,705,85000.0,17.25,0.143,0,Current,0
LN000212,2026-04-28,Two-Wheeler,74600.0,702,106000.0,17.3,0.339,0,Current,0
LN000213,2024-10-06,Two-Wheeler,143200.0,655,135000.0,18.08,0.226,22,Stage 1,0
LN000214,2025-11-30,Personal Loan,33100.0,717,203000.0,17.05,0.534,17,Stage 1,0
LN000215,2025-08-19,Two-Wheeler,22200.0,670,118000.0,17.83,0.662,11,Stage 1,0
LN000216,2025-09-01,Personal Loan,59000.0,830,905000.0,15.17,0.823,2,Stage 1,0
LN000217,2025-10-02,Personal Loan,55700.0,665,685000.0,17.92,0.772,0,Current,0
LN000218,2025-12-23,Two-Wheeler,48900.0,734,131000.0,16.77,0.529,0,Current,0
LN000219,2026-02-10,Two-Wheeler,31300.0,634,135000.0,18.43,0.336,0,Current,0
LN000220,2026-07-18,Consumer Durable,15000.0,704,36000.0,17.27,0.563,0,Current,0
LN000221,2026-02-04,Two-Wheeler,26800.0,639,100000.0,18.35,0.269,0,Current,0
LN000222,2025-10-20,Two-Wheeler,68500.0,674,57000.0,17.77,0.364,0,Current,0
LN000223,2025-04-20,Personal Loan,58100.0,798,771000.0,15.7,0.94,0,Current,0
LN000224,2026-07-04,Personal Loan,87500.0,716,106000.0,17.07,0.461,20,Stage 1,0
LN000225,2025-04-22,Personal Loan,60300.0,786,233000.0,15.9,0.48,0,Current,0
LN000226,2026-02-13,Personal Loan,76200.0,703,616000.0,17.28,0.516,0,Current,0
LN000227,2026-05-18,Consumer Durable,77600.0,778,28000.0,16.03,0.424,0,Current,0
LN000228,2025-02-20,Personal Loan,49600.0,785,553000.0,15.92,0.623,0,Current,0
LN000229,2025-12-29,Consumer Durable,49800.0,777,60000.0,16.05,0.181,0,Current,0
LN000230,2024-10-04,Two-Wheeler,15000.0,796,61000.0,15.73,0.567,44,Stage 2,0
LN000231,2025-09-07,Two-Wheeler,33100.0,759,74000.0,16.35,0.411,0,Current,0
LN000232,2025-05-17,Two-Wheeler,33900.0,685,143000.0,17.58,0.361,0,Current,0
LN000233,2026-04-30,Two-Wheeler,45900.0,606,86000.0,18.9,0.482,28,Stage 1,0
LN000234,2026-01-08,Personal Loan,28100.0,659,750000.0,18.02,1.277,65,Stage 2,0
LN000235,2026-03-02,Personal Loan,86000.0,751,454000.0,16.48,0.605,0,Current,0
LN000236,2026-03-15,Two-Wheeler,28900.0,809,48000.0,15.52,0.37,0,Current,0
LN000237,2025-06-11,Personal Loan,95000.0,759,423000.0,16.35,0.591,0,Current,0
LN000238,2026-03-22,Personal Loan,27500.0,695,977000.0,17.42,1.676,2,Stage 1,0
LN000239,2026-04-27,Two-Wheeler,34100.0,685,69000.0,17.58,0.462,0,Current,0
LN000240,2026-05-18,Personal Loan,32600.0,722,984000.0,16.97,1.469,0,Current,0
LN000241,2026-02-05,Consumer Durable,36400.0,768,46000.0,16.2,0.482,0,Current,0
LN000242,2025-12-11,Consumer Durable,99400.0,722,53000.0,16.97,0.318,0,Current,0
LN000243,2024-12-18,Consumer Durable,40300.0,680,36000.0,17.67,0.415,0,Current,0
LN000244,2025-02-20,Personal Loan,40900.0,652,177000.0,18.13,0.354,86,Stage 2,0
LN000245,2025-08-23,Personal Loan,31400.0,662,870000.0,17.97,1.497,0,Current,0
LN000246,2025-03-29,Consumer Durable,41900.0,664,39000.0,17.93,0.43,0,Current,0
LN000247,2025-01-01,Personal Loan,55800.0,714,486000.0,17.1,0.593,0,Current,0
LN000248,2025-05-20,Consumer Durable,43100.0,655,57000.0,18.08,0.345,0,Current,0
LN000249,2024-09-05,Consumer Durable,44800.0,675,67000.0,17.75,0.285,11,Stage 1,0
LN000250,2025-05-30,Consumer Durable,90200.0,774,76000.0,16.1,0.427,0,Current,0
LN000251,2025-05-31,Personal Loan,57800.0,766,520000.0,16.23,0.443,0,Current,0
LN000252,2026-01-18,Personal Loan,24600.0,855,605000.0,14.75,1.348,0,Current,0
LN000253,2026-02-13,Consumer Durable,46600.0,747,49000.0,16.55,0.222,0,Current,0
LN000254,2024-10-19,Personal Loan,35500.0,607,118000.0,18.88,0.467,0,Current,0
LN000255,2025-06-29,Personal Loan,67000.0,596,660000.0,19.07,0.565,0,Current,0
LN000256,2026-02-10,Two-Wheeler,52100.0,730,74000.0,16.83,0.184,0,Current,0
LN000257,2026-03-16,Consumer Durable,96600.0,716,58000.0,17.07,0.146,0,Current,0
LN000258,2024-08-20,Two-Wheeler,31400.0,699,40000.0,17.35,0.166,0,Current,0
LN000259,2025-10-16,Two-Wheeler,43700.0,625,100000.0,18.58,0.24,0,Current,0
LN000260,2025-08-12,Personal Loan,25900.0,643,475000.0,18.28,1.123,9,Stage 1,0
LN000261,2024-08-20,Two-Wheeler,47800.0,806,101000.0,15.57,0.201,0,Current,0
LN000262,2025-06-10,Consumer Durable,19500.0,801,38000.0,15.65,0.277,0,Current,0
LN000263,2025-06-08,Personal Loan,59400.0,741,566000.0,16.65,0.616,0,Current,0
LN000264,2025-12-11,Two-Wheeler,47400.0,769,106000.0,16.18,0.383,0,Current,0
LN000265,2025-02-28,Consumer Durable,53800.0,628,34000.0,18.53,0.424,0,Current,0
LN000266,2024-09-05,Two-Wheeler,78700.0,745,91000.0,16.58,0.179,0,Current,0
LN000267,2025-07-20,Two-Wheeler,56100.0,668,86000.0,17.87,0.279,0,Current,0
LN000268,2026-01-18,Two-Wheeler,22800.0,819,79000.0,15.35,0.437,0,Current,0
LN000269,2024-12-17,Personal Loan,35100.0,758,578000.0,16.37,0.897,0,Current,0
LN000270,2025-05-08,Personal Loan,46700.0,596,410000.0,19.07,0.499,15,Stage 1,0
LN000271,2024-12-18,Consumer Durable,40300.0,622,78000.0,18.63,0.265,0,Current,0
LN000272,2025-05-15,Consumer Durable,43300.0,713,26000.0,17.12,0.516,0,Current,0
LN000273,2026-07-12,Consumer Durable,129700.0,647,38000.0,18.22,0.113,0,Current,0
LN000274,2026-05-29,Consumer Durable,52100.0,809,45000.0,15.52,0.424,0,Current,0
LN000275,2026-01-23,Two-Wheeler,61700.0,571,49000.0,19.48,0.362,6,Stage 1,0
LN000276,2026-06-26,Two-Wheeler,15000.0,714,74000.0,17.1,0.433,0,Current,0
LN000277,2025-03-07,Two-Wheeler,76700.0,593,51000.0,19.12,0.251,0,Current,0
LN000278,2026-06-02,Two-Wheeler,271400.0,689,55000.0,17.52,0.158,0,Current,0
LN000279,2026-03-10,Two-Wheeler,109900.0,620,113000.0,18.67,0.313,0,Current,0
LN000280,2026-07-04,Two-Wheeler,37600.0,714,120000.0,17.1,0.497,86,Stage 2,0
LN000281,2026-02-08,Consumer Durable,192700.0,646,75000.0,18.23,0.206,0,Current,0
LN000282,2026-05-23,Personal Loan,49800.0,664,125000.0,17.93,0.568,0,Current,0
LN000283,2025-06-01,Personal Loan,58900.0,805,698000.0,15.58,0.773,0,Current,0
LN000284,2025-03-13,Personal Loan,41800.0,684,132000.0,17.6,0.319,0,Current,0
LN000285,2025-01-24,Two-Wheeler,41100.0,500,52000.0,20.67,0.437,0,Current,0
LN000286,2025-02-20,Personal Loan,15000.0,706,762000.0,17.23,1.952,98,Stage 3 (Default),1
LN000287,2025-12-18,Personal Loan,78600.0,833,907000.0,15.12,0.811,0,Current,0
LN000288,2025-11-14,Two-Wheeler,41000.0,748,106000.0,16.53,0.41,0,Current,0
LN000289,2026-04-03,Personal Loan,43800.0,793,94000.0,15.78,0.252,0,Current,0
LN000290,2025-03-17,Two-Wheeler,57800.0,671,83000.0,17.82,0.22,0,Current,0
LN000291,2026-03-12,Personal Loan,38200.0,770,117000.0,16.17,0.496,0,Current,0
